year,generator,generator_key,upsilon_mean,control_upsilon_mean,signed_gap_vs_control,fidelity_retention,nearest_real_similarity_mean,row_novelty
1972,LSM,lsm,0.7754669622872948,0.7880991396954736,-0.0126321774081787,0.9839713346051108,0.3868932723999023,0.6131067276000977
1973,LSM,lsm,0.7892165998430168,0.7910954784659273,-0.0018788786229104,0.9976249660451176,0.3885427713394165,0.6114572286605835
1974,LSM,lsm,0.7957259556818351,0.7951364474278375,0.0005895082539976,1.000741392569671,0.3960999548435211,0.6039000451564789
1975,LSM,lsm,0.7960496720096776,0.7945715128605622,0.0014781591491154,1.0018603223563778,0.3898942768573761,0.6101057231426239
1976,LSM,lsm,0.8036893857330792,0.7977592197939523,0.0059301659391269,1.0074335285534632,0.3904912173748016,0.6095087826251984
1977,LSM,lsm,0.8073498422213493,0.7994648270822442,0.0078850151391051,1.009862866847917,0.3849759995937347,0.6150240004062653
1978,LSM,lsm,0.8104973931143437,0.8080191132078528,0.0024782799064908,1.0030671055498328,0.3978204429149627,0.6021795570850372
1980,LSM,lsm,0.8048546375543942,0.7957181133064671,0.0091365242479271,1.0114821116864638,0.3933898210525512,0.6066101789474487
1982,LSM,lsm,0.802711008472882,0.7994652593181931,0.0032457491546888,1.0040599001856028,0.3847874701023102,0.6152125298976898
1983,LSM,lsm,0.8024193786179581,0.7912068367319262,0.0112125418860319,1.0141714421128427,0.3878378570079803,0.6121621429920197
1984,LSM,lsm,0.797752358064503,0.795673186473863,0.0020791715906399,1.0026130974701486,0.3769360780715942,0.6230639219284058
1985,LSM,lsm,0.7986300279607407,0.7929542379831247,0.0056757899776159,1.0071577774677796,0.383904755115509,0.616095244884491
1986,LSM,lsm,0.7841975088885528,0.7839798405247748,0.000217668363778,1.0002776453583708,0.3699527680873871,0.6300472319126129
1987,LSM,lsm,0.805937170814987,0.7943806890777059,0.011556481737281,1.0145477878505562,0.3829133808612823,0.6170866191387177
1988,LSM,lsm,0.7951962104424263,0.7916613649811101,0.0035348454613162,1.004465097853298,0.3766919076442718,0.6233080923557281
1989,LSM,lsm,0.7977929452453955,0.7926459790358519,0.0051469662095435,1.006493398497781,0.379838228225708,0.620161771774292
1990,LSM,lsm,0.7943216710112015,0.7783603114026527,0.0159613596085488,1.0205063893607134,0.3709162473678589,0.6290837526321411
1991,LSM,lsm,0.812202296292008,0.8035451043478128,0.0086571919441952,1.010773747356997,0.3955225944519043,0.6044774055480957
1993,LSM,lsm,0.7957180274753646,0.7929766589840145,0.00274136849135,1.0034570607599755,0.3717205226421356,0.6282794773578644
1994,LSM,lsm,0.802638919525251,0.8075775930808077,-0.0049386735555566,0.9938845832303046,0.3785141706466675,0.6214858293533325
1996,LSM,lsm,0.8153780107546641,0.8266296749316552,-0.011251664176991,0.9863885068269278,0.3888234198093414,0.6111765801906586
1998,LSM,lsm,0.7868648954658508,0.7903510473863276,-0.0034861519204767,0.995589109507724,0.3679387271404266,0.6320612728595734
2000,LSM,lsm,0.7970143384940483,0.8029632449023165,-0.0059489064082681,0.9925913091962362,0.3681800961494446,0.6318199038505554
2002,LSM,lsm,0.7886084269560627,0.7911534921662835,-0.0025450652102207,0.996783095523914,0.3625922203063965,0.6374077796936035
2004,LSM,lsm,0.8168196579192927,0.826558107114469,-0.0097384491951763,0.98821807068208,0.3853625953197479,0.6146374046802521
2006,LSM,lsm,0.7886267533761584,0.8015350670474283,-0.0129083136712698,0.9838955097512831,0.3690613508224487,0.6309386491775513
2008,LSM,lsm,0.7959632541306383,0.7858358357115982,0.01012741841904,1.0128874479360812,0.3721326291561126,0.6278673708438873
2010,LSM,lsm,0.7891323478801618,0.7906558996196643,-0.0015235517395024,0.9980730533469296,0.3657912909984588,0.6342087090015411
2012,LSM,lsm,0.795513098687392,0.789055334834871,0.0064577638525209,1.0081841710808184,0.3753702342510223,0.6246297657489777
2014,LSM,lsm,0.7934467933540016,0.7987968056469633,-0.0053500122929617,0.9933024115079822,0.368332952260971,0.6316670477390289
2016,LSM,lsm,0.7943841956165576,0.7906795189237453,0.0037046766928122,1.0046854339895577,0.3696978092193603,0.6303021907806396
2018,LSM,lsm,0.7977784839273331,0.8027749287981994,-0.0049964448708663,0.9937760327438896,0.3688927292823791,0.6311072707176208
2022,LSM,lsm,0.9721101874159548,0.9590196739665736,0.0130905134493811,1.0136498904086482,0.4108897149562835,0.5891102850437164
2024,LSM,lsm,0.8036924333388683,0.7648573525366553,0.0388350808022129,1.0507742792475174,0.3599797189235687,0.6400202810764313
