generator,generator_key,n_waves,mean_upsilon,between_wave_sd_upsilon,mean_signed_gap_vs_control,gap_bootstrap_ci_low,gap_bootstrap_ci_high,mean_fidelity_retention,retention_bootstrap_ci_low,retention_bootstrap_ci_high,mean_nearest_real_similarity,mean_row_novelty,novelty_bootstrap_ci_low,novelty_bootstrap_ci_high,waves_above_control,mean_excess_alignment,excess_alignment_ci_low,excess_alignment_ci_high
LSM,lsm,34,0.80316767201686,0.0311308057787618,0.0027218809177747,-0.0003641256630701,0.0061840624120675,1.00344852580788,0.9995151949789788,1.0078024697899406,0.3800202713293187,0.6199797286706812,0.61607800638851,0.6237475866780562,22,1.0622639665529217,0.9922828652289664,1.1538281270012607
Chow-Liu,chow_liu,34,0.7872295088794989,0.0328207307747895,-0.0132162822195864,-0.0158740148566056,-0.0106475167552726,0.9834108015765372,0.980057627742276,0.9865912273902898,0.6559534318306867,0.3440465681693133,0.334704957507989,0.3532552646801752,1,0.6976729772781142,0.6608419359171188,0.7357409374586599
CTGAN,ctgan,34,0.7629687180664938,0.0365397920302059,-0.0374770730325916,-0.0415167814061785,-0.0331924829413709,0.9529654016309697,0.9479446618314826,0.9584157053807554,0.5665081423871657,0.4334918576128342,0.4218069565646788,0.4450564392349299,0,0.1426990039995825,0.06845337146011954,0.21564503041348826
Independent baseline,baseline,34,0.7567306044756776,0.0379212059895514,-0.0437151866234078,-0.0483198692041588,-0.0389938798395308,0.9451283541614214,0.939465503649796,0.9510885929384356,0.5618948997820125,0.4381051002179875,0.4269527892856037,0.4493964960250784,0,0.0,0.0,0.0
Original-row control,original_sample_control,34,0.8004457910990854,0.0302131862162163,0.0,0.0,0.0,1.0,1.0,1.0,0.9999969654223498,3.034577650172591e-06,1.9266324884653303e-06,4.210892845576555e-06,0,1.0,1.0,1.0
