year,generator,generator_key,upsilon_mean,control_upsilon_mean,signed_gap_vs_control,fidelity_retention,nearest_real_similarity_mean,row_novelty
1972,Independent baseline,baseline,0.7185760200195422,0.7880991396954736,-0.0695231196759313,0.9117837894065008,0.5235533118247986,0.4764466881752014
1973,Independent baseline,baseline,0.7548319627193225,0.7910954784659273,-0.0362635157466048,0.9541603804676952,0.5466942191123962,0.4533057808876037
1974,Independent baseline,baseline,0.7570495008719267,0.7951364474278375,-0.0380869465559108,0.9521001122774372,0.5654042959213257,0.4345957040786743
1975,Independent baseline,baseline,0.7522422219239345,0.7945715128605622,-0.0423292909366276,0.9467268958784634,0.5801403522491455,0.4198596477508545
1976,Independent baseline,baseline,0.7583534157696961,0.7977592197939523,-0.0394058040242562,0.9506043890856768,0.5763241648674011,0.4236758351325989
1977,Independent baseline,baseline,0.7590849734163075,0.7994648270822442,-0.0403798536659366,0.9494913943702707,0.5682442784309387,0.4317557215690613
1978,Independent baseline,baseline,0.7756223008360796,0.8080191132078528,-0.0323968123717731,0.9599058836081772,0.5882678627967834,0.4117321372032165
1980,Independent baseline,baseline,0.7618075852066665,0.7957181133064671,-0.0339105280998006,0.957383742392276,0.5717690587043762,0.4282309412956238
1982,Independent baseline,baseline,0.7565100253059672,0.7994652593181931,-0.0429552340122258,0.946270042992413,0.577526867389679,0.422473132610321
1983,Independent baseline,baseline,0.7626662638965446,0.7912068367319262,-0.0285405728353815,0.9639277980037836,0.5692645311355591,0.4307354688644409
1984,Independent baseline,baseline,0.7602618859010419,0.795673186473863,-0.035411300572821,0.9554951691538692,0.5638248324394226,0.4361751675605774
1985,Independent baseline,baseline,0.7576517126319452,0.7929542379831247,-0.0353025253511795,0.955479744403698,0.569864809513092,0.4301351904869079
1986,Independent baseline,baseline,0.7556021399534271,0.7839798405247748,-0.0283777005713476,0.9638030225976826,0.5557178854942322,0.4442821145057678
1987,Independent baseline,baseline,0.7577792824226335,0.7943806890777059,-0.0366014066550723,0.953924601694979,0.5714111328125,0.4285888671875
1988,Independent baseline,baseline,0.7465154876753974,0.7916613649811101,-0.0451458773057126,0.9429732467659454,0.511288583278656,0.488711416721344
1989,Independent baseline,baseline,0.7446977503937814,0.7926459790358519,-0.0479482286420704,0.9395086458391008,0.524124264717102,0.4758757352828979
1990,Independent baseline,baseline,0.7360783702737033,0.7783603114026527,-0.0422819411289494,0.945678189766954,0.5146121978759766,0.4853878021240234
1991,Independent baseline,baseline,0.7647529976909432,0.8035451043478128,-0.0387921066568696,0.9517237969007916,0.5223912596702576,0.4776087403297424
1993,Independent baseline,baseline,0.7552001143060497,0.7929766589840145,-0.0377765446779647,0.9523610887534,0.5080302357673645,0.4919697642326355
1994,Independent baseline,baseline,0.7546564673720872,0.8075775930808077,-0.0529211257087204,0.9344692990962852,0.5861147046089172,0.4138852953910827
1996,Independent baseline,baseline,0.7740768349940154,0.8266296749316552,-0.0525528399376398,0.9364251713538052,0.5885217189788818,0.4114782810211181
1998,Independent baseline,baseline,0.7286904480775243,0.7903510473863276,-0.0616605993088033,0.921983276276139,0.5533398389816284,0.4466601610183716
2000,Independent baseline,baseline,0.7377762405401598,0.8029632449023165,-0.0651870043621567,0.9188169511170003,0.6124117970466614,0.3875882029533386
2002,Independent baseline,baseline,0.7316682296846454,0.7911534921662835,-0.0594852624816381,0.9248119826675358,0.5845322012901306,0.4154677987098694
2004,Independent baseline,baseline,0.7663769308911994,0.826558107114469,-0.0601811762232695,0.9271906285773868,0.6430562734603882,0.3569437265396118
2006,Independent baseline,baseline,0.7370288342201975,0.8015350670474283,-0.0645062328272307,0.9195216335763712,0.6411329507827759,0.3588670492172241
2008,Independent baseline,baseline,0.7365986676600474,0.7858358357115982,-0.0492371680515507,0.9373442062400158,0.5601866245269775,0.4398133754730224
2010,Independent baseline,baseline,0.7348279330627788,0.7906558996196643,-0.0558279665568854,0.9293903117857708,0.5447168946266174,0.4552831053733825
2012,Independent baseline,baseline,0.7488004118279935,0.789055334834871,-0.0402549230068775,0.948983396690041,0.5514504909515381,0.4485495090484619
2014,Independent baseline,baseline,0.7413118396341551,0.7987968056469633,-0.0574849660128081,0.9280355584719072,0.545754075050354,0.454245924949646
2016,Independent baseline,baseline,0.7445400826567238,0.7906795189237453,-0.0461394362670215,0.941645843653791,0.5730350017547607,0.4269649982452392
2018,Independent baseline,baseline,0.7518380236468649,0.8027749287981994,-0.0509369051513345,0.9365489587130106,0.5410646200180054,0.4589353799819946
2022,Independent baseline,baseline,0.9586519041840412,0.9590196739665736,-0.0003677697825323,0.9996165148718886,0.5802063941955566,0.4197936058044433
2024,Independent baseline,baseline,0.7467136925056943,0.7648573525366553,-0.018143660030961,0.9762783740382605,0.4904488623142242,0.5095511376857758
