year,generator,generator_key,upsilon_mean,control_upsilon_mean,signed_gap_vs_control,fidelity_retention,nearest_real_similarity_mean,row_novelty
1972,Original-row control,original_sample_control,0.7880991396954736,0.7880991396954736,0.0,1.0,1.0,0.0
1973,Original-row control,original_sample_control,0.7910954784659273,0.7910954784659273,0.0,1.0,1.0,0.0
1974,Original-row control,original_sample_control,0.7951364474278375,0.7951364474278375,0.0,1.0,1.0,0.0
1975,Original-row control,original_sample_control,0.7945715128605622,0.7945715128605622,0.0,1.0,0.9999977946281432,2.2053718568004754e-06
1976,Original-row control,original_sample_control,0.7977592197939523,0.7977592197939523,0.0,1.0,0.999994456768036,5.543231964000306e-06
1977,Original-row control,original_sample_control,0.7994648270822442,0.7994648270822442,0.0,1.0,0.9999979138374328,2.086162567249694e-06
1978,Original-row control,original_sample_control,0.8080191132078528,0.8080191132078528,0.0,1.0,1.0,0.0
1980,Original-row control,original_sample_control,0.7957181133064671,0.7957181133064671,0.0,1.0,0.9999980330467224,1.96695327758789e-06
1982,Original-row control,original_sample_control,0.7994652593181931,0.7994652593181931,0.0,1.0,0.9999952912330629,4.708766937144837e-06
1983,Original-row control,original_sample_control,0.7912068367319262,0.7912068367319262,0.0,1.0,1.0,0.0
1984,Original-row control,original_sample_control,0.795673186473863,0.795673186473863,0.0,1.0,1.0,0.0
1985,Original-row control,original_sample_control,0.7929542379831247,0.7929542379831247,0.0,1.0,1.0,0.0
1986,Original-row control,original_sample_control,0.7839798405247748,0.7839798405247748,0.0,1.0,1.0,0.0
1987,Original-row control,original_sample_control,0.7943806890777059,0.7943806890777059,0.0,1.0,0.9999935626983644,6.437301635631165e-06
1988,Original-row control,original_sample_control,0.7916613649811101,0.7916613649811101,0.0,1.0,1.0,0.0
1989,Original-row control,original_sample_control,0.7926459790358519,0.7926459790358519,0.0,1.0,0.9999969601631165,3.039836883544922e-06
1990,Original-row control,original_sample_control,0.7783603114026527,0.7783603114026527,0.0,1.0,0.9999940395355223,5.960464477650085e-06
1991,Original-row control,original_sample_control,0.8035451043478128,0.8035451043478128,0.0,1.0,1.0,0.0
1993,Original-row control,original_sample_control,0.7929766589840145,0.7929766589840145,0.0,1.0,0.9999933242797852,6.67572021484375e-06
1994,Original-row control,original_sample_control,0.8075775930808077,0.8075775930808077,0.0,1.0,1.0,0.0
1996,Original-row control,original_sample_control,0.8266296749316552,0.8266296749316552,0.0,1.0,0.9999886751174928,1.1324882507213196e-05
1998,Original-row control,original_sample_control,0.7903510473863276,0.7903510473863276,0.0,1.0,0.9999991655349731,8.344650268554688e-07
2000,Original-row control,original_sample_control,0.8029632449023165,0.8029632449023165,0.0,1.0,1.0,0.0
2002,Original-row control,original_sample_control,0.7911534921662835,0.7911534921662835,0.0,1.0,1.0,0.0
2004,Original-row control,original_sample_control,0.826558107114469,0.826558107114469,0.0,1.0,0.9999952912330629,4.708766937144837e-06
2006,Original-row control,original_sample_control,0.8015350670474283,0.8015350670474283,0.0,1.0,0.9999933242797852,6.67572021484375e-06
2008,Original-row control,original_sample_control,0.7858358357115982,0.7858358357115982,0.0,1.0,1.0,0.0
2010,Original-row control,original_sample_control,0.7906558996196643,0.7906558996196643,0.0,1.0,0.9999943375587464,5.662441253551087e-06
2012,Original-row control,original_sample_control,0.789055334834871,0.789055334834871,0.0,1.0,0.9999962449073792,3.75509262084961e-06
2014,Original-row control,original_sample_control,0.7987968056469633,0.7987968056469633,0.0,1.0,0.9999959468841552,4.053115844837585e-06
2016,Original-row control,original_sample_control,0.7906795189237453,0.7906795189237453,0.0,1.0,1.0,0.0
2018,Original-row control,original_sample_control,0.8027749287981994,0.8027749287981994,0.0,1.0,0.9999905228614808,9.477138519176089e-06
2022,Original-row control,original_sample_control,0.9590196739665736,0.9590196739665736,0.0,1.0,0.9999902844429016,9.715557098388672e-06
2024,Original-row control,original_sample_control,0.7648573525366553,0.7648573525366553,0.0,1.0,0.9999916553497314,8.344650268554688e-06
