generator,generator_key,n_waves,mean_upsilon,between_wave_sd_upsilon,mean_signed_gap_vs_control,gap_bootstrap_ci_low,gap_bootstrap_ci_high,mean_fidelity_retention,retention_bootstrap_ci_low,retention_bootstrap_ci_high,mean_nearest_real_similarity,mean_row_novelty,novelty_bootstrap_ci_low,novelty_bootstrap_ci_high,waves_above_control
LSM,lsm,34,0.80316767201686,0.031130805778761806,0.002721880917774732,-0.00036412566307014884,0.006184062412067566,1.00344852580788,0.9995151949789789,1.0078024697899406,0.38002027132931876,0.6199797286706812,0.61607800638851,0.6237475866780562,22
Chow-Liu,chow_liu,34,0.7872295088794989,0.032820730774789565,-0.013216282219586432,-0.015874014856605615,-0.010647516755272679,0.9834108015765372,0.9800576277422761,0.9865912273902898,0.6559534318306867,0.34404656816931334,0.334704957507989,0.3532552646801752,1
CTGAN,ctgan,34,0.7629687180664938,0.03653979203020596,-0.03747707303259168,-0.04151678140617858,-0.03319248294137094,0.9529654016309697,0.9479446618314826,0.9584157053807554,0.5665081423871657,0.43349185761283426,0.42180695656467887,0.44505643923492993,0
Independent baseline,baseline,34,0.7567306044756776,0.03792120598955149,-0.04371518662340784,-0.04831986920415882,-0.03899387983953087,0.9451283541614214,0.9394655036497961,0.9510885929384356,0.5618948997820125,0.4381051002179875,0.4269527892856037,0.4493964960250784,0
Original-row control,original_sample_control,34,0.8004457910990854,0.030213186216216367,0.0,0.0,0.0,1.0,1.0,1.0,0.9999969654223498,3.034577650172591e-06,1.9266324884653303e-06,4.210892845576555e-06,0
